Exon	GeneName	AlternativeSplicedExon	PanExpressionScore	RepresentativeExon	Location	Tier	Expression_High_in_Normal	Expression_High_In_Tumor
LAMA2_chr6_129250112_129250213_+	LAMA2	Gene	0.3125	false	MATRISOME	Not Prioritized		MB,
BCAN_chr1_156648566_156648861_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
SCUBE3_chr6_35244650_35244811_+	SCUBE3	Gene	0.3125	true	SURFACEOME	Tier2	Blood_Vessel,Thyroid,	DSRCT,
ADAM17_chr2_9555509_9555700_-	ADAM17	Gene	0.875	false	MATRISOME_SURFACEOME	Tier2		EWS,RB,DSRCT,BT,
GPC2_chr7_100176207_100176365_-	GPC2	Gene	0.8125	false	MATRISOME	Tier2	Testis,	,RB,MB,NBL,
SLIT2_chr4_20589644_20589737_+	SLIT2	Gene	0.625	false	MATRISOME	Not Prioritized	Nerve,Fallopian_Tube,Lung,	OS,EPD,
CSPG4_chr15_75685219_75685701_-	CSPG4	Gene	0.5625	false	MATRISOME_SURFACEOME	Not Prioritized	Colon,Blood_Vessel,	OS,MEL,HGG,LGG,
LTBP1_chr2_33188577_33188851_+	LTBP1	Gene	0.8125	false	MATRISOME	Not Prioritized	Heart,Bladder,Blood_Vessel,	BT,EPD,WLM,
COL14A1_chr8_120231467_120232087_+	COL14A1	Gene	0.125	false	MATRISOME_SURFACEOME	Not Prioritized	Blood_Vessel,	DSRCT,
ENPP2_chr8_119616269_119616384_-	ENPP2	Gene	0.75	false	SURFACEOME	Not Prioritized	Brain,Uterus,Fallopian_Tube,Adipose_Tissue,Breast,	OS,MEL,CPC,NBL,
RELN_chr7_103682116_103682261_-	RELN	Gene	0.1875	false	MATRISOME	Tier2		,MB,
THBS2_chr6_169237610_169237795_-	THBS2	Gene	0.75	false	MATRISOME	Not Prioritized	Cervix_Uteri,Blood_Vessel,	ST,DSRCT,OS,MEL,
SORL1_chr11_121570157_121570270_+	SORL1	Gene	1.0	false	SURFACEOME	Tier2	Blood,	HGG,LGG,RB,DSRCT,BT,
FGFR2_chr10_121593709_121593841_-	FGFR2	Gene	0.9375	false	MATRISOME_SURFACEOME	Not Prioritized	Brain,	EPD,HGG,BT,CPC,
P2RX7_chr12_121175388_121175478_+	P2RX7	Gene	0.25	false	SURFACEOME	Not Prioritized		LGG,
CDH11_chr16_64998562_64998856_-	CDH11	Gene	1.6875	false	SURFACEOME	Tier2	Lung,Ovary,	DSRCT,BT,MB,HGG,WLM,RHB,LGG,EWS,ST,OS,
RELN_chr7_103629940_103630136_-	RELN	Gene	0.1875	false	MATRISOME	Tier2		,MB,
SEMA6D_chr15_47764883_47765480_+	SEMA6D	Gene	0.25	false	MATRISOME_SURFACEOME	Tier1		RB,MB,
DLK1_chr14_100732039_100732184_+	DLK1	Gene	0.5	false	MATRISOME_SURFACEOME	Tier2	,Testis,Ovary,Pituitary,Adrenal_Gland,	NBL,ACT,RHB,
COL11A1_chr1_102912159_102912212_-	COL11A1	Gene	0.8125	false	MATRISOME_SURFACEOME	Tier1		ACT,CPC,HGG,LGG,OS,
MMP11_chr22_23781264_23781409_+	MMP11	Gene	0.5	false	MATRISOME	Tier2		OS,WLM,RHB,
COL4A5_chrX_108591562_108591644_+	COL4A5	Gene	0.6875	false	MATRISOME	Not Prioritized	Uterus,Fallopian_Tube,Bladder,Esophagus,	BT,EPD,DSRCT,CPC,
LIFR_chr5_38528726_38528840_-	LIFR	Gene	1.125	true	MATRISOME_SURFACEOME	Tier2		BT,MB,EPD,HGG,LGG,EWS,
IBSP_chr4_87802508_87802558_+	IBSP	Gene	0.1875	false	MATRISOME	Tier1		,OS,
DLK1_chr14_100732039_100732183_+	DLK1	Gene	0.5	false	MATRISOME_SURFACEOME	Tier2	,Testis,Ovary,Pituitary,Adrenal_Gland,	NBL,ACT,RHB,
BMP7_chr20_57174931_57175007_-	BMP7	Gene	1.375	false	MATRISOME	Not Prioritized	Brain,Vagina,Skin,Thyroid,	BT,HGG,DSRCT,CPC,EPD,WLM,LGG,
IMPG2_chr3_101276664_101276713_-	IMPG2	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier1		MB,RB,
PTPRC_chr1_198734328_198734425_+	PTPRC	Gene	0.6875	false	MATRISOME_SURFACEOME	Not Prioritized	Small_Intestine,Spleen,Lung,Blood,	MEL,
BCAN_chr1_156656938_156657100_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
LRP8_chr1_53266473_53266699_-	LRP8	Gene	0.3125	false	SURFACEOME	Tier2	Testis,	,MB,
LAMA1_chr18_6961945_6962059_-	LAMA1	Gene	0.1875	false	MATRISOME	Tier1	Testis,	EPD,
RTBDN_chr19_12828869_12828953_-	RTBDN	Gene	0.1875	true	MATRISOME	Tier2	Pituitary,	,RB,
IGF2R_chr6_160045745_160045882_+	IGF2R	Gene	1.75	false	MATRISOME_SURFACEOME	Not Prioritized	Muscle,	RB,DSRCT,ACT,MB,RHB,EWS,ST,BT,MEL,
SEMA6A_chr5_116482444_116482575_-	SEMA6A	Gene	1.0	false	SURFACEOME	Tier2	Adrenal_Gland,	BT,MEL,MB,HGG,WLM,RHB,LGG,
NPTX2_chr7_98628402_98629869_+	NPTX2	Gene	0.4375	false	SURFACEOME	Tier2	Testis,Adrenal_Gland,Pituitary,	MB,ACT,
COL9A1_chr6_70232583_70232771_-	COL9A1	Gene	0.5	false	MATRISOME	Tier1		RB,CPC,LGG,
CLCN3_chr4_169719907_169723183_+	CLCN3	Gene	0.9375	false	SURFACEOME	Tier2	Brain,	RB,MEL,MB,LGG,
COL9A1_chr6_70234794_70234940_-	COL9A1	Gene	0.625	false	MATRISOME	Tier1		CPC,RB,LGG,
RTBDN_chr19_12825798_12825933_-	RTBDN	Gene	0.125	false	MATRISOME	Tier2	Pituitary,	RB,
DLK1_chr14_100732039_100732182_+	DLK1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	,Testis,Ovary,Pituitary,Adrenal_Gland,	NBL,ACT,RHB,
CPD_chr17_30442308_30442450_+	CPD	Gene	1.5	false	SURFACEOME	Tier2	Testis,	EWS,ST,DSRCT,MEL,MB,EPD,WLM,RB,BT,
ABCG1_chr21_42284560_42284683_+	ABCG1	Gene	0.8125	false	SURFACEOME	Not Prioritized	Spleen,Lung,Adrenal_Gland,	RB,CPC,LGG,
HSPG2_chr1_21872859_21873091_-	HSPG2	Gene	0.75	false	MATRISOME	Not Prioritized		ST,ACT,MEL,RHB,
CDH10_chr5_24498398_24498519_-	CDH10	Gene	0.1875	false	SURFACEOME	Tier2		LGG,
ENPP1_chr6_131872923_131873050_+	ENPP1	Gene	0.25	false	MATRISOME_SURFACEOME	Tier2		EWS,
SEMA6A_chr5_116480122_116480279_-	SEMA6A	Gene	1.0625	false	SURFACEOME	Tier2	Adrenal_Gland,	MB,HGG,WLM,RHB,LGG,BT,
DPP4_chr2_162073399_162073596_-	DPP4	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2		RB,
DLK1_chr14_100732039_100732181_+	DLK1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	,Testis,Ovary,Pituitary,Adrenal_Gland,	NBL,ACT,RHB,
HMCN1_chr1_186136668_186136937_+	HMCN1	Gene	0.3125	false	MATRISOME	Tier2		,EWS,
LRP8_chr1_53271085_53271153_-	LRP8	Gene	0.4375	false	SURFACEOME	Tier2	Testis,	,MB,
COL26A1_chr7_101551108_101551143_+	COL26A1	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		WLM,
ABCA1_chr9_104824465_104824578_-	ABCA1	Gene	1.25	false	SURFACEOME	Tier2	Adrenal_Gland,	EWS,RB,ST,MEL,MB,HGG,DSRCT,BT,
COL11A2_chr6_33166717_33166824_-	COL11A2	Gene	0.4375	false	MATRISOME_SURFACEOME	Tier2	Testis,Pituitary,	OS,
CLCN3_chr4_169719907_169720545_+	CLCN3	Gene	1.6875	false	SURFACEOME	Tier2	Testis,Brain,Pituitary,	EWS,BT,MEL,MB,CPC,EPD,HGG,NBL,LGG,RB,
COL5A1_chr9_134690912_134691079_+	COL5A1	Gene	1.125	false	MATRISOME_SURFACEOME	Not Prioritized	Ovary,Uterus,Fallopian_Tube,Vagina,Cervix_Uteri,	ST,DSRCT,BT,EWS,OS,RHB,
PMEL_chr12_55957108_55957342_-	PMEL	Gene	0.1875	false	SURFACEOME	Tier2		,MEL,
BMP7_chr20_57170917_57171108_-	BMP7	Gene	1.3125	false	MATRISOME	Not Prioritized	Brain,Skin,Thyroid,	BT,HGG,WLM,DSRCT,CPC,EPD,LGG,
ITGAV_chr2_186669701_186669914_+	ITGAV	Gene	1.6875	false	MATRISOME_SURFACEOME	Tier2		EWS,RB,DSRCT,ACT,MEL,MB,HGG,ST,BT,LGG,
COL11A2_chr6_33164852_33164964_-	COL11A2	Gene	0.5	false	MATRISOME_SURFACEOME	Tier2	Testis,Pituitary,	,OS,
CHL1_chr3_398227_398385_+	CHL1	Gene	0.3125	false	SURFACEOME	Tier2		,LGG,
SPA17_chr11_124681389_124681459_+	SPA17	Gene	0.5	false	SURFACEOME	Tier2	Brain,Pituitary,Kidney,Testis,	WLM,EPD,
THBS2_chr6_169241762_169241958_-	THBS2	Gene	0.8125	false	MATRISOME	Not Prioritized	Skin,Cervix_Uteri,Blood_Vessel,	ST,OS,MEL,DSRCT,
JAM3_chr11_134069071_134069159_+	JAM3	Gene	0.6875	false	SURFACEOME	Not Prioritized	Blood_Vessel,	RB,RHB,
NID2_chr14_52038747_52038952_-	NID2	Gene	0.375	false	MATRISOME	Tier2		CPC,
TGFB2_chr1_218434082_218434214_+	TGFB2	Gene	0.5	false	MATRISOME_SURFACEOME	Tier1		BT,EPD,HGG,
CLCN3_chr4_169687658_169687755_+	CLCN3	Gene	2.1875	false	SURFACEOME	Tier2	Testis,Brain,Salivary_Gland,Adrenal_Gland,	ST,DSRCT,CPC,EPD,NBL,EWS,RB,BT,MEL,MB,HGG,LGG,
MMP9_chr20_46013658_46013794_+	MMP9	Gene	0.375	false	MATRISOME	Tier2	,Spleen,Blood,	NBL,OS,
NCAN_chr19_19248700_19249019_+	NCAN	Gene	0.375	false	MATRISOME	Not Prioritized		EPD,HGG,LGG,
PMEL_chr12_55958252_55958607_-	PMEL	Gene	0.1875	false	SURFACEOME	Tier2		,MEL,
COL12A1_chr6_75165507_75165779_-	COL12A1	Gene	0.6875	false	MATRISOME	Not Prioritized		ST,DSRCT,OS,MEL,RHB,
COL11A1_chr1_103108073_103108479_-	COL11A1	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier1		OS,
CPD_chr17_30456462_30456526_+	CPD	Gene	1.5625	true	SURFACEOME	Tier2	Salivary_Gland,Lung,Testis,	EWS,RB,ST,DSRCT,BT,MEL,MB,HGG,WLM,
KIT_chr4_54699630_54699766_+	KIT	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2		EWS,
IL1RAP_chr3_190645699_190645842_+	IL1RAP	Gene	0.625	false	SURFACEOME	Tier2		DSRCT,LGG,EWS,
MELTF_chr3_197009618_197009812_-	MELTF	Gene	0.1875	false	SURFACEOME	Tier2		MEL,
COL2A1_chr12_48004237_48004449_-	COL2A1	Gene	0.125	false	MATRISOME	Tier2		WLM,
SCARA3_chr8_27658496_27659539_+	SCARA3	Gene	0.6875	false	MATRISOME_SURFACEOME	Not Prioritized	Uterus,Fallopian_Tube,Cervix_Uteri,Blood_Vessel,Thyroid,	HGG,LGG,EPD,
MMP9_chr20_46013658_46013795_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
LAMA1_chr18_6958477_6958662_-	LAMA1	Gene	0.1875	false	MATRISOME	Tier1	Testis,	EPD,
GRIN1_chr9_137163169_137163330_+	GRIN1	Gene	0.125	false	SURFACEOME	Not Prioritized	,Brain,	NBL,
PTPRZ1_chr7_122061080_122062036_+	PTPRZ1	Gene	0.75	false	MATRISOME_SURFACEOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
PTPRC_chr1_198754269_198754457_+	PTPRC	Gene	0.6875	false	MATRISOME_SURFACEOME	Not Prioritized	Small_Intestine,Spleen,Lung,Blood,	MEL,
LYN_chr8_55947618_55947723_+	LYN	Gene	0.5625	false	SURFACEOME	Tier2	Spleen,Lung,Blood,	CPC,
BCAN_chr1_156656938_156657096_+	BCAN	Gene	0.5625	false	MATRISOME	Not Prioritized	,Brain,	,EPD,HGG,LGG,
PTPRZ1_chr7_122039456_122039587_+	PTPRZ1	Gene	1.0625	false	MATRISOME_SURFACEOME	Not Prioritized	,Brain,	MEL,MB,BT,EPD,HGG,LGG,
COL8A1_chr3_99794230_99794508_+	COL8A1	Gene	0.25	false	MATRISOME	Not Prioritized	,Blood_Vessel,	DSRCT,
PTPRZ1_chr7_122012608_122013889_+	PTPRZ1	Gene	0.5	false	MATRISOME_SURFACEOME	Not Prioritized		,HGG,LGG,
DPP4_chr2_162005645_162005809_-	DPP4	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier2	Small_Intestine,Kidney,	,RB,
COL12A1_chr6_75125127_75125273_-	COL12A1	Gene	0.6875	false	MATRISOME	Not Prioritized	Nerve,Ovary,Uterus,Adipose_Tissue,	ST,MEL,RHB,OS,
LOXL4_chr10_98256780_98256947_-	LOXL4	Gene	0.1875	false	MATRISOME	Tier2		RB,
ADAM17_chr2_9536698_9536828_-	ADAM17	Gene	1.5	false	MATRISOME_SURFACEOME	Tier2		EWS,ST,DSRCT,BT,MEL,MB,EPD,HGG,RB,
MOG_chr6_29670117_29670397_+	MOG	Gene	0.125	false	SURFACEOME	Not Prioritized	Brain,	LGG,
PROM1_chr4_15989732_15989824_-	PROM1	Gene	0.5625	false	MATRISOME_SURFACEOME	Tier2	Kidney,Salivary_Gland,	CPC,RB,
HMCN1_chr1_186065238_186065429_+	HMCN1	Gene	0.25	false	MATRISOME	Tier2		,EWS,
CLCN3_chr4_169687658_169687757_+	CLCN3	Gene	2.1875	false	SURFACEOME	Tier2	Testis,Brain,Salivary_Gland,Adrenal_Gland,	ST,DSRCT,CPC,EPD,NBL,EWS,RB,BT,MEL,MB,HGG,LGG,
SCNN1G_chr16_23197264_23197427_+	SCNN1G	Gene	0.1875	false	SURFACEOME	Tier2		,EWS,
RELN_chr7_103486197_103486416_-	RELN	Gene	0.3125	false	MATRISOME	Tier2	Nerve,	EPD,MB,
FBN1_chr15_48463899_48464021_-	FBN1	Gene	1.25	false	MATRISOME	Tier2	Nerve,Ovary,Fallopian_Tube,Adipose_Tissue,Blood_Vessel,	EWS,DSRCT,BT,OS,MEL,RHB,ST,
KIT_chr4_54709424_54709539_+	KIT	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2		EWS,
THSD7A_chr7_11446061_11446324_-	THSD7A	Gene	0.25	false	SURFACEOME	Tier2		RB,MB,
COL12A1_chr6_75202720_75202792_-	COL12A1	Gene	0.375	false	MATRISOME	Not Prioritized		OS,
SERPINE2_chr2_223984752_223985080_-	SERPINE2	Gene	1.8125	false	MATRISOME	Not Prioritized	Heart,Testis,Nerve,Ovary,Brain,	EWS,ST,BT,CPC,EPD,NBL,WLM,RHB,OS,MEL,HGG,LGG,
INSR_chr19_7132158_7132317_-	INSR	Gene	0.9375	false	SURFACEOME	Tier2	Ovary,Pancreas,	EWS,RB,ST,ACT,
FBN1_chr15_48468412_48468534_-	FBN1	Gene	1.1875	false	MATRISOME	Tier2	Adipose_Tissue,	EWS,DSRCT,BT,OS,MEL,RHB,ST,
SCNN1G_chr16_23215089_23216883_+	SCNN1G	Gene	0.125	false	SURFACEOME	Tier2		EWS,
SORL1_chr11_121627555_121627767_+	SORL1	Gene	0.6875	true	SURFACEOME	Tier2	Spleen,Liver,Blood,	RB,DSRCT,BT,HGG,LGG,
COL12A1_chr6_75152131_75152250_-	COL12A1	Gene	0.875	false	MATRISOME	Not Prioritized	Nerve,Ovary,	EWS,ST,DSRCT,MEL,RHB,OS,
WIF1_chr12_65077746_65077854_-	WIF1	Gene	0.1875	false	MATRISOME	Not Prioritized	Brain,	RB,
TF_chr3_133757769_133757946_+	TF	Gene	0.5625	false	MATRISOME	Not Prioritized	Testis,Salivary_Gland,Brain,Liver,	HGG,RB,LGG,
ADAMTS9_chr3_64633472_64633608_-	ADAMTS9	Gene	0.375	false	MATRISOME	Not Prioritized	Adipose_Tissue,	ST,BT,
IL17RB_chr3_53849655_53849795_+	IL17RB	Gene	0.25	false	MATRISOME_SURFACEOME	Not Prioritized	Kidney,	LGG,
COL9A1_chr6_70253385_70253429_-	COL9A1	Gene	0.625	false	MATRISOME	Tier1		CPC,RB,LGG,
GLG1_chr16_74606657_74607105_-	GLG1	Gene	0.625	false	MATRISOME_SURFACEOME	Not Prioritized		,EWS,
ACAN_chr15_88873842_88874059_+	ACAN	Gene	0.125	false	MATRISOME	Tier2	Blood_Vessel,	OS,
CDH8_chr16_62021152_62021379_-	CDH8	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		,EWS,
ITGAV_chr2_186677197_186680901_+	ITGAV	Gene	1.5625	false	MATRISOME_SURFACEOME	Tier2	Heart,Blood_Vessel,Kidney,	EWS,ST,DSRCT,ACT,BT,MEL,CPC,HGG,LGG,
PCSK6_chr15_101366196_101366332_-	PCSK6	Gene	0.5625	true	MATRISOME	Tier2	Spleen,Liver,	DSRCT,CPC,ACT,
SORL1_chr11_121595623_121595772_+	SORL1	Gene	0.875	false	SURFACEOME	Tier2	Blood,	RB,DSRCT,HGG,LGG,BT,
MMP9_chr20_46013658_46013792_+	MMP9	Gene	0.375	false	MATRISOME	Tier2	,Spleen,Blood,	NBL,OS,
ABCA1_chr9_104821375_104821506_-	ABCA1	Gene	1.125	false	SURFACEOME	Tier2		EWS,RB,ST,BT,MEL,HGG,DSRCT,
COL11A2_chr6_33184992_33185054_-	COL11A2	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier2	Pituitary,	OS,
CLCN3_chr4_169690530_169690652_+	CLCN3	Gene	1.5625	false	SURFACEOME	Tier2		EWS,BT,MEL,CPC,EPD,HGG,LGG,RB,MB,
LRP8_chr1_53271028_53271153_-	LRP8	Gene	0.4375	false	SURFACEOME	Tier2	Testis,	,MB,
PRL_chr6_22290174_22290353_-	PRL	Gene	0.1875	false	MATRISOME	Not Prioritized	,Pituitary,	MB,
SORL1_chr11_121619753_121619917_+	SORL1	Gene	1.0625	false	SURFACEOME	Tier2	Spleen,Liver,Blood,	RB,DSRCT,EPD,HGG,BT,LGG,
LRP2_chr2_169290845_169290997_-	LRP2	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2		RB,
COL13A1_chr10_69930453_69930552_+	COL13A1	Gene	0.5	false	MATRISOME	Tier2	Blood_Vessel,	DSRCT,WLM,EWS,
CP_chr3_149183466_149183605_-	CP	Gene	0.5625	false	SURFACEOME	Tier2	Salivary_Gland,Blood_Vessel,Liver,	DSRCT,CPC,EPD,
COL11A2_chr6_33165931_33165982_-	COL11A2	Gene	0.5	false	MATRISOME_SURFACEOME	Tier2	Testis,Pituitary,	OS,
MMP13_chr11_102949025_102949158_-	MMP13	Gene	0.1875	false	MATRISOME	Tier1		,OS,
FRAS1_chr4_78519331_78519481_+	FRAS1	Gene	0.1875	false	MATRISOME_SURFACEOME	Tier1		DSRCT,
TNFRSF11B_chr8_118926494_118926718_-	TNFRSF11B	Gene	0.25	true	MATRISOME	Tier2	Kidney,Thyroid,Blood_Vessel,	,EPD,
SLIT2_chr4_20548488_20548559_+	SLIT2	Gene	0.375	false	MATRISOME	Not Prioritized	Lung,	EPD,
SEMA6D_chr15_47759745_47759983_+	SEMA6D	Gene	0.5	false	MATRISOME_SURFACEOME	Tier1		MB,RB,
COL14A1_chr8_120227220_120227352_+	COL14A1	Gene	0.625	false	MATRISOME_SURFACEOME	Not Prioritized	Ovary,Uterus,Vagina,Cervix_Uteri,Blood_Vessel,	ST,RHB,DSRCT,
MELTF_chr3_197026660_197026759_-	MELTF	Gene	0.3125	false	SURFACEOME	Tier2		OS,MEL,
CHL1_chr3_363217_363502_+	CHL1	Gene	0.25	false	SURFACEOME	Tier2		LGG,
SEMA6A_chr5_116478014_116478154_-	SEMA6A	Gene	1.0	false	SURFACEOME	Tier2	Adrenal_Gland,	BT,MB,HGG,WLM,RHB,LGG,
CEP55_chr10_93515405_93515555_+	CEP55	Gene	0.3125	false	SURFACEOME	Tier2		RB,
NRG1_chr8_32548730_32548826_+	NRG1	Gene	0.125	false	MATRISOME_SURFACEOME	Tier1		DSRCT,
PTPRC_chr1_198748109_198748199_+	PTPRC	Gene	0.5625	false	MATRISOME_SURFACEOME	Not Prioritized	Small_Intestine,Spleen,Lung,Blood,	MEL,
COL20A1_chr20_63322058_63324456_+	COL20A1	Gene	0.25	false	MATRISOME	Tier1		,DSRCT,
DPP4_chr2_162046915_162047006_-	DPP4	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2	Small_Intestine,	RB,
COL11A1_chr1_103003215_103003268_-	COL11A1	Gene	0.625	false	MATRISOME_SURFACEOME	Tier1		CPC,OS,
ITIH2_chr10_7727703_7727828_+	ITIH2	Gene	0.1875	false	MATRISOME	Tier2	,Liver,	,DSRCT,
HMCN1_chr1_186153826_186153987_+	HMCN1	Gene	0.5625	false	MATRISOME	Tier2		MEL,WLM,EWS,
FREM2_chr13_38784557_38784808_+	FREM2	Gene	0.125	true	MATRISOME_SURFACEOME	Tier2		BT,
TFRC_chr3_196069455_196069700_-	TFRC	Gene	1.1875	false	MATRISOME_SURFACEOME	Tier2		EWS,RB,BT,MB,DSRCT,
MMP9_chr20_46013658_46013796_+	MMP9	Gene	0.3125	false	MATRISOME	Tier2	,Spleen,Blood,	,OS,
TFRC_chr3_196058574_196058958_-	TFRC	Gene	0.5	false	MATRISOME_SURFACEOME	Tier2		RB,DSRCT,
COL5A1_chr9_134732071_134732669_+	COL5A1	Gene	0.375	false	MATRISOME_SURFACEOME	Not Prioritized		EWS,OS,
ITGAV_chr2_186664494_186664641_+	ITGAV	Gene	2.3125	false	MATRISOME_SURFACEOME	Tier2	Bladder,Adrenal_Gland,Blood_Vessel,	ACT,OS,MB,CPC,EPD,RHB,EWS,RB,ST,DSRCT,BT,MEL,HGG,LGG,
CD109_chr6_73806844_73807072_+	CD109	Gene	0.3125	false	MATRISOME	Tier2		MEL,
ADAM17_chr2_9521203_9521316_-	ADAM17	Gene	1.6875	false	MATRISOME_SURFACEOME	Tier2		EWS,RB,ST,DSRCT,BT,MEL,MB,CPC,EPD,HGG,RHB,
HMCN1_chr1_186129966_186130100_+	HMCN1	Gene	0.375	false	MATRISOME	Tier2		MEL,EWS,
NPTXR_chr22_38823083_38823262_-	NPTXR	Gene	0.375	false	SURFACEOME	Not Prioritized	Brain,	,EWS,
NTM_chr11_132212022_132212147_+	NTM	Gene	0.6875	false	SURFACEOME	Not Prioritized	Brain,	RB,EPD,HGG,LGG,
FNDC5_chr1_32867753_32867842_-	FNDC5	Gene	0.6875	false	SURFACEOME	Tier2	Heart,Brain,Adrenal_Gland,Muscle,	RB,MB,RHB,
CD4_chr12_6818421_6818542_+	CD4	Gene	0.375	false	SURFACEOME	Not Prioritized	Lung,Spleen,	OS,
COL4A5_chrX_108439882_108440206_+	COL4A5	Gene	0.25	false	MATRISOME	Not Prioritized		DSRCT,
TF_chr3_133766278_133766433_+	TF	Gene	0.5625	false	MATRISOME	Not Prioritized	Testis,Brain,Salivary_Gland,Liver,	HGG,RB,LGG,
NAV2_chr11_20118133_20118581_+	NAV2	Gene	0.6875	false	MATRISOME	Tier2	Blood_Vessel,Thyroid,	EPD,HGG,LGG,
COL9A1_chr6_70234909_70234940_-	COL9A1	Gene	0.625	false	MATRISOME	Tier1		CPC,RB,LGG,
COL11A2_chr6_33173701_33173745_-	COL11A2	Gene	0.125	false	MATRISOME_SURFACEOME	Tier2	Pituitary,	OS,
LOX_chr5_122077355_122078360_-	LOX	Gene	0.125	false	MATRISOME	Tier2		OS,
TREM2_chr6_41161263_41161613_-	TREM2	Gene	0.1875	true	SURFACEOME	Tier1		LGG,
IL17RB_chr3_53856844_53856986_+	IL17RB	Gene	0.375	false	MATRISOME_SURFACEOME	Not Prioritized	Brain,Liver,Kidney,	HGG,LGG,
SCUBE3_chr6_35232850_35232975_+	SCUBE3	Gene	0.1875	false	SURFACEOME	Tier2		DSRCT,
ITIH2_chr10_7721649_7721777_+	ITIH2	Gene	0.1875	false	MATRISOME	Tier2	,Liver,	,DSRCT,
NPTX1_chr17_80470527_80471034_-	NPTX1	Gene	0.25	false	SURFACEOME	Tier2		RB,
COL4A5_chrX_108596998_108597068_+	COL4A5	Gene	0.6875	false	MATRISOME	Not Prioritized	Uterus,Fallopian_Tube,Bladder,Esophagus,	BT,EPD,DSRCT,CPC,
COL11A1_chr1_103006068_103006121_-	COL11A1	Gene	0.875	false	MATRISOME_SURFACEOME	Tier1		ACT,BT,CPC,HGG,OS,
CP_chr3_149221647_149221824_-	CP	Gene	0.125	false	SURFACEOME	Tier2	Liver,	DSRCT,
CPD_chr17_30423506_30423697_+	CPD	Gene	1.25	false	SURFACEOME	Tier2	Testis,	EWS,ST,DSRCT,BT,MEL,MB,WLM,RB,
AGRN_chr1_1040665_1040880_+	AGRN	Gene	0.625	false	MATRISOME_SURFACEOME	Tier2		CPC,EPD,HGG,
HEG1_chr3_125001852_125002020_-	HEG1	Gene	0.8125	false	SURFACEOME	Tier2		ST,BT,RB,
COL9A1_chr6_70281004_70281039_-	COL9A1	Gene	0.25	true	MATRISOME	Tier1		LGG,
KDR_chr4_55106687_55106810_-	KDR	Gene	0.3125	false	MATRISOME_SURFACEOME	Tier2		,DSRCT,
NAV2_chr11_20105531_20105727_+	NAV2	Gene	0.75	false	MATRISOME	Tier2	Blood_Vessel,Thyroid,	MEL,EPD,HGG,LGG,
LDLR_chr19_11089463_11089615_+	LDLR	Gene	0.375	false	MATRISOME_SURFACEOME	Tier2		,ACT,
FAP_chr2_162198757_162198842_-	FAP	Gene	0.375	false	MATRISOME_SURFACEOME	Tier2	Uterus,	OS,
FBN1_chr15_48470634_48470756_-	FBN1	Gene	1.1875	false	MATRISOME	Tier2		EWS,DSRCT,BT,OS,MEL,RHB,ST,
TFRC_chr3_196055080_196055561_-	TFRC	Gene	1.25	false	MATRISOME_SURFACEOME	Tier2		EWS,RB,DSRCT,BT,MB,
OLR1_chr12_10160786_10160925_-	OLR1	Gene	0.1875	false	SURFACEOME	Tier2	Lung,	LGG,
CD109_chr6_73809984_73810174_+	CD109	Gene	0.25	false	MATRISOME	Tier2		OS,MEL,
PAPPA_chr9_116367645_116367754_+	PAPPA	Gene	0.1875	false	MATRISOME	Tier2		,EWS,
RELN_chr7_103489742_103489899_-	RELN	Gene	0.3125	false	MATRISOME	Tier2	Nerve,	EPD,MB,
SORL1_chr11_121557015_121557405_+	SORL1	Gene	0.375	false	SURFACEOME	Tier2		DSRCT,BT,
GPC6_chr13_94305980_94306123_+	GPC6	Gene	0.375	false	MATRISOME	Tier2		RB,
ACAN_chr15_88874405_88874572_+	ACAN	Gene	0.125	false	MATRISOME	Tier2	Blood_Vessel,	OS,
HMCN1_chr1_186001298_186001428_+	HMCN1	Gene	0.375	false	MATRISOME	Tier2		MEL,EWS,
FBN2_chr5_128289127_128289252_-	FBN2	Gene	0.25	false	MATRISOME_SURFACEOME	Tier2		ACT,
FRAS1_chr4_78539294_78539440_+	FRAS1	Gene	0.25	false	MATRISOME_SURFACEOME	Tier1		DSRCT,
KDR_chr4_55121097_55121190_-	KDR	Gene	0.25	false	MATRISOME_SURFACEOME	Tier2		,DSRCT,
